model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA ILX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,24,34,28,6,No
ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,small SUV,3,26,27,27,6,No
ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small SUV,3,20,27,23,5,No
ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,3,19,26,22,4,No
ACURA MDX A-spec,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,3,19,25,21,4,No
ACURA NSX,3.5,6.0,AMS-9,4WD,Gasoline,small car,3,21,22,21,4,No
ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,small SUV,6,22,28,24,5,No
ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,6,21,27,23,5,No
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,2WD,Gasoline,small SUV,6,22,27,24,5,No
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,6,21,26,23,5,No
ACURA RLX,3.5,6.0,AMS-7,4WD,Gasoline,midsize car,7,28,29,28,6,No
ACURA RLX,3.5,6.0,SemiAuto-10,2WD,Gasoline,midsize car,3,20,29,23,5,No
ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,23,33,27,6,No
ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20,31,24,5,No
ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,20,29,23,5,No
ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,20,29,23,5,No
ACURA TLX FWD A-SPEC,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,23,32,26,5,No
ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20,30,23,5,No
ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,small car,1,24,34,28,6,No
ALFA ROMEO Giulia,2.0,4.0,Auto-8,2WD,Gasoline,midsize car,3,24,33,27,6,No
ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,midsize car,3,17,25,20,4,No
ALFA ROMEO Giulia AWD,2.0,4.0,Auto-8,4WD,Gasoline,midsize car,3,23,31,26,5,No
ALFA ROMEO Stelvio,2.0,4.0,Auto-8,2WD,Gasoline,small SUV,3,22,29,25,5,No
ALFA ROMEO Stelvio AWD,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,3,22,28,24,5,No
ALFA ROMEO Stelvio AWD,2.9,6.0,Auto-8,4WD,Gasoline,small SUV,3,17,23,19,3,No
ASTON MARTIN DB11,4.0,8.0,SemiAuto-8,2WD,Gasoline,small car,3,18,24,20,4,No
ASTON MARTIN DB11,5.2,12.0,SemiAuto-8,2WD,Gasoline,small car,3,15,22,18,3,No
ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,small car,3,14,22,17,3,No
ASTON MARTIN Vantage,4.0,8.0,SemiAuto-8,2WD,Gasoline,small car,3,18,24,20,4,No
ASTON MARTIN Vantage Manual,4.0,8.0,Man-7,2WD,Gasoline,small car,3,14,21,20,4,No
AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,small car,7,27,36,30,7,Yes
AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,small car,7,22,30,25,5,No
AUDI A3 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,small car,7,22,30,25,5,No
AUDI A4,2.0,4.0,AMS-7,2WD,Gasoline,small car,5,27,35,30,7,Yes
AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,small car,3,24,32,27,6,No
AUDI A4 allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,station wagon,3,23,31,26,5,No
AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,small car,3,24,32,27,6,No
AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,small car,3,23,31,26,5,No
AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,3,24,32,27,6,No
AUDI A6,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,5,24,32,27,6,No
AUDI A6,3.0,6.0,AMS-7,4WD,Gasoline,midsize car,5,22,29,24,5,No
AUDI A6 Allroad,3.0,6.0,AMS-7,4WD,Gasoline,station wagon,5,20,26,22,4,No
AUDI A7,3.0,6.0,AMS-7,4WD,Gasoline,midsize car,5,22,29,24,5,No
AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,5,17,26,21,4,No
AUDI A8 L,4.0,8.0,SemiAuto-8,4WD,Gasoline,large car,3,15,23,18,3,No
AUDI Q3,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,19,27,22,4,No
AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,small SUV,5,22,28,24,5,No
AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,19,23,21,4,No
AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,5,17,21,18,3,No
AUDI Q8,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,17,21,18,3,No
AUDI R8,5.2,10.0,AMS-7,4WD,Gasoline,small car,1,13,20,16,2,No
AUDI R8 Spyder,5.2,10.0,AMS-7,4WD,Gasoline,small car,1,13,20,16,2,No
AUDI RS Q8,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,19,15,2,No
AUDI RS3,2.5,5.0,AMS-7,4WD,Gasoline,small car,3,19,28,23,5,No
AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,small car,3,22,29,25,5,No
AUDI S4,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,5,20,27,23,5,No
AUDI S5,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,5,20,27,23,5,No
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,5,19,26,22,4,No
AUDI S5 Sportback,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,20,27,23,5,No
AUDI S6,2.9,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,18,28,22,4,No
AUDI S7,2.9,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,18,28,22,4,No
AUDI S8,4.0,8.0,SemiAuto-8,4WD,Gasoline,large car,3,13,22,16,2,No
AUDI SQ5,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,18,23,20,4,No
AUDI SQ7,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,21,17,3,No
AUDI SQ8,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,21,17,3,No
AUDI TT Coupe,2.0,4.0,AMS-7,4WD,Gasoline,small car,7,23,31,26,5,No
AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,small car,3,19,29,23,5,No
AUDI TT Roadster,2.0,4.0,AMS-7,4WD,Gasoline,small car,7,23,31,26,5,No
AUDI TTS Coupe,2.0,4.0,AMS-7,4WD,Gasoline,small car,3,23,29,25,5,No
BENTLEY Bentayga,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,14,23,17,3,No
BENTLEY Bentayga,6.0,12.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,12,17,14,1,No
BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,small car,1,9,14,11,1,No
BENTLEY Continental GT,4.0,8.0,AMS-8,4WD,Gasoline,small car,3,16,26,19,3,No
BENTLEY Continental GT,6.0,12.0,AMS-8,4WD,Gasoline,small car,3,12,20,15,2,No
BENTLEY Continental GT Convertible,4.0,8.0,AMS-8,4WD,Gasoline,small car,3,16,26,19,3,No
BENTLEY Continental GT Convertible,6.0,12.0,AMS-8,4WD,Gasoline,small car,3,12,19,15,2,No
BENTLEY Flying Spur,6.0,12.0,AMS-8,4WD,Gasoline,midsize car,3,12,19,15,2,No
BENTLEY Mulsanne,6.8,8.0,SemiAuto-8,2WD,Gasoline,midsize car,1,10,16,12,1,No
BMW 228i ,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,23,33,27,6,No
BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,34,27,6,No
BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,7,21,32,25,5,No
BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24,32,27,6,No
BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,21,31,24,5,No
BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,21,31,24,5,No
BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,26,36,30,7,Yes
BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,25,34,28,6,No
BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,34,27,6,No
BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,22,32,26,5,No
BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,7,21,33,25,5,No
BMW 430i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,34,27,6,No
BMW 430i Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,21,31,24,5,No
BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,23,34,27,6,No
BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,21,31,24,5,No
BMW 440i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,29,24,5,No
BMW 440i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,20,28,23,5,No
BMW 440i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,27,22,4,No
BMW 440i Coupe,3.0,6.0,Man-6,4WD,Gasoline,small car,3,18,28,21,4,No
BMW 440i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No
BMW 440i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No
BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No
BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No
BMW 530i,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,25,33,28,6,No
BMW 530i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,24,31,27,6,No
BMW 540i,3.0,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,22,30,25,5,No
BMW 540i,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,22,29,25,5,No
BMW 740i,3.0,6.0,SemiAuto-8,2WD,Gasoline,large car,3,22,29,24,5,No
BMW 740i,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,20,28,23,5,No
BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3,17,25,20,4,No
BMW 840i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,29,24,5,No
BMW 840i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,23,30,25,5,No
BMW 840i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,midsize car,3,22,29,24,5,No
BMW 840i xDrive Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,20,27,23,5,No
BMW 840i xDrive Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21,27,23,5,No
BMW 840i xDrive Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3,20,27,23,5,No
BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3,17,25,20,4,No
BMW M2 CS Coupe,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,16,23,19,3,No
BMW M2 CS Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17,24,20,4,No
BMW M2 Competition,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,23,19,3,No
BMW M2 Competition,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18,25,20,4,No
BMW M235i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3,23,32,26,5,No
BMW M240i Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,27,22,4,No
BMW M240i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No
BMW M240i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No
BMW M240i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,27,22,4,No
BMW M240i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No
BMW M240i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No
BMW M240i Coupe M Performance,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19,27,22,4,No
BMW M240i Coupe M Performance,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No
BMW M240i Coupe M Performance,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No
BMW M340i,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,5,22,30,25,5,No
BMW M340i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,5,22,30,25,5,No
BMW M4 CS,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,23,19,3,No
BMW M4 Convertible,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,16,22,19,3,No
BMW M4 Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No
BMW M4 Convertible Competition,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,16,22,19,3,No
BMW M4 Convertible Competition,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No
BMW M4 Coupe,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,23,19,3,No
BMW M4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18,25,20,4,No
BMW M4 Coupe Competition,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17,23,19,3,No
BMW M4 Coupe Competition,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18,25,20,4,No
BMW M5,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,15,21,17,3,No
BMW M5 Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,15,21,17,3,No
BMW M550i,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,18,25,20,4,No
BMW M760i xDrive,6.6,12.0,SemiAuto-8,4WD,Gasoline,large car,3,13,20,16,2,No
BMW M8 Competition Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,21,17,3,No
BMW M8 Competition Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,21,17,3,No
BMW M8 Competition Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,15,21,17,3,No
BMW M8 Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,21,17,3,No
BMW M8 Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,21,17,3,No
BMW M8 Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,15,21,17,3,No
BMW M850i xDrive,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,18,25,20,4,No
BMW M850i xDrive Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,17,25,20,4,No
BMW M850i xDrive Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,17,25,20,4,No
BMW X1 sDrive28i,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,7,24,33,27,6,No
BMW X1 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,large car,7,23,31,26,5,No
BMW X2 M35i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3,23,30,26,5,No
BMW X2 sDrive28i,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,24,32,27,6,No
BMW X2 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,24,31,27,6,No
BMW X3 M,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,14,19,16,2,No
BMW X3 M Competition,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,14,19,16,2,No
BMW X3 M40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,21,27,23,5,No
BMW X3 sDrive30i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,7,25,29,27,6,No
BMW X3 xDrive30i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,24,29,26,5,No
BMW X4 M,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,14,19,16,2,No
BMW X4 M Competition,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,14,19,16,2,No
BMW X4 M40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,21,27,23,5,No
BMW X4 xDrive30i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,23,28,25,5,No
BMW X5 M,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No
BMW X5 M Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No
BMW X5 M50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,22,18,3,No
BMW X5 sDrive40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,standard SUV,3,21,26,23,5,No
BMW X5 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,20,26,22,4,No
BMW X5 xDrive50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,22,18,3,No
BMW X6 M,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No
BMW X6 M Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No
BMW X6 M50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,22,18,3,No
BMW X6 sDrive40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,standard SUV,3,21,26,23,5,No
BMW X6 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,20,26,22,4,No
BMW X7 M50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,21,17,3,No
BMW X7 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,20,25,22,4,No
BMW X7 xDrive50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,21,17,3,No
BMW Z4,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24,32,27,6,No
BMW Z4 M40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,5,24,31,26,5,No
BUGATTI Divo,8.0,16.0,AMS-7,4WD,Gasoline,small car,1,9,13,10,1,No
BUICK Enclave,3.6,6.0,Auto-9,2WD,Gasoline,standard SUV,6,18,26,21,4,No
BUICK Enclave,3.6,6.0,Auto-9,4WD,Gasoline,standard SUV,6,17,25,20,4,No
BUICK Encore,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,25,30,27,6,No
BUICK Encore,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,24,29,26,5,No
BUICK Encore GX,1.2,3.0,CVT,2WD,Gasoline,small SUV,7,26,30,28,6,No
BUICK Encore GX,1.3,3.0,Auto-9,4WD,Gasoline,small SUV,7,26,29,28,6,No
BUICK Encore GX,1.3,3.0,CVT,2WD,Gasoline,small SUV,7,30,32,31,7,Yes
BUICK Envision,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,20,25,22,4,No
BUICK Envision,2.5,4.0,Auto-6,2WD,Gasoline,small SUV,5,22,29,25,5,No
BUICK Envision,2.5,4.0,Auto-6,4WD,Gasoline,small SUV,5,21,27,24,5,No
BUICK Regal,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5,21,29,24,5,No
BUICK Regal,2.0,4.0,SemiAuto-9,2WD,Gasoline,midsize car,5,22,32,26,5,No
BUICK Regal,3.6,6.0,SemiAuto-9,4WD,Gasoline,midsize car,6,19,27,22,4,No
BUICK Regal Tour X,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,5,21,29,24,5,No
CADILLAC CT4,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,6,23,34,27,6,No
CADILLAC CT4,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,6,23,32,26,5,No
CADILLAC CT4,2.7,4.0,SemiAuto-10,2WD,Gasoline,small car,6,20,30,24,5,No
CADILLAC CT4,2.7,4.0,SemiAuto-10,4WD,Gasoline,small car,6,20,28,23,5,No
CADILLAC CT4 V,2.7,4.0,SemiAuto-10,2WD,Gasoline,small car,6,20,29,23,5,No
CADILLAC CT4 V,2.7,4.0,SemiAuto-10,4WD,Gasoline,small car,6,20,28,23,5,No
CADILLAC CT5,2.0,4.0,SemiAuto-10,2WD,Gasoline,midsize car,6,23,32,26,5,No
CADILLAC CT5,2.0,4.0,SemiAuto-10,4WD,Gasoline,midsize car,6,21,31,25,5,No
CADILLAC CT5,3.0,6.0,SemiAuto-10,2WD,Gasoline,midsize car,5,19,26,21,4,No
CADILLAC CT5,3.0,6.0,SemiAuto-10,4WD,Gasoline,midsize car,5,18,25,21,4,No
CADILLAC CT5 V,3.0,6.0,SemiAuto-10,2WD,Gasoline,midsize car,5,18,26,21,4,No
CADILLAC CT5 V,3.0,6.0,SemiAuto-10,4WD,Gasoline,midsize car,5,17,25,20,4,No
CADILLAC CT6,3.6,6.0,SemiAuto-10,4WD,Gasoline,large car,5,18,27,21,4,No
CADILLAC CT6,4.2,8.0,SemiAuto-10,4WD,Gasoline,large car,3,14,25,17,3,No
CADILLAC Escalade,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
CADILLAC Escalade,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,21,17,3,No
CADILLAC XT4,2.0,4.0,SemiAuto-9,2WD,Gasoline,small SUV,6,24,30,26,5,No
CADILLAC XT4,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,6,22,29,24,5,No
CADILLAC XT5,2.0,4.0,SemiAuto-9,2WD,Gasoline,small SUV,6,21,28,24,5,No
