model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
CADILLAC XT5,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,6,21,26,23,5,No
CADILLAC XT5,3.6,6.0,SemiAuto-9,2WD,Gasoline,small SUV,6,18,26,21,4,No
CADILLAC XT5,3.6,6.0,SemiAuto-9,4WD,Gasoline,small SUV,6,18,25,20,4,No
CADILLAC XT6,3.6,6.0,SemiAuto-9,2WD,Gasoline,small SUV,6,18,25,20,4,No
CADILLAC XT6,3.6,6.0,SemiAuto-9,4WD,Gasoline,small SUV,6,17,24,20,4,No
CHEVROLET Blazer,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,6,21,28,24,5,No
CHEVROLET Blazer,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,6,21,27,23,5,No
CHEVROLET Blazer,2.5,4.0,Auto-9,2WD,Gasoline,small SUV,5,21,27,23,5,No
CHEVROLET Blazer,3.6,6.0,Auto-9,2WD,Gasoline,small SUV,6,19,26,21,4,No
CHEVROLET Blazer,3.6,6.0,Auto-9,4WD,Gasoline,small SUV,6,18,25,21,4,No
CHEVROLET Camaro,2.0,4.0,Man-6,2WD,Gasoline,small car,5,20,30,23,5,No
CHEVROLET Camaro,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,5,22,31,25,5,No
CHEVROLET Camaro,3.6,6.0,Man-6,2WD,Gasoline,small car,6,16,26,20,4,No
CHEVROLET Camaro,3.6,6.0,SemiAuto-10,2WD,Gasoline,small car,6,19,29,22,4,No
CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,14,20,16,2,No
CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,16,24,19,3,No
CHEVROLET Camaro,6.2,8.0,SemiAuto-10,2WD,Gasoline,small car,1,13,21,16,2,No
CHEVROLET Camaro,6.2,8.0,SemiAuto-10,2WD,Gasoline,small car,1,16,27,20,4,No
CHEVROLET Colorado,2.5,4.0,Auto-6,2WD,Gasoline,pickup,5,20,26,22,4,No
CHEVROLET Colorado,2.5,4.0,Auto-6,4WD,Gasoline,pickup,5,19,24,21,4,No
CHEVROLET Colorado,2.8,4.0,Auto-6,2WD,Diesel,pickup,3,20,30,23,4,No
CHEVROLET Colorado,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,19,28,22,4,No
CHEVROLET Colorado,3.6,6.0,Auto-8,2WD,Gasoline,pickup,5,18,25,20,4,No
CHEVROLET Colorado,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,17,24,19,3,No
CHEVROLET Colorado ZR2,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,18,22,19,3,No
CHEVROLET Colorado ZR2,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,16,18,17,3,No
CHEVROLET Corvette,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,3,15,27,19,3,No
CHEVROLET Equinox,1.5,4.0,Auto-6,2WD,Gasoline,small SUV,7,26,31,28,6,No
CHEVROLET Equinox,1.5,4.0,Auto-6,4WD,Gasoline,small SUV,7,25,30,27,6,No
CHEVROLET Equinox,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5,22,29,25,5,No
CHEVROLET Equinox,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,22,28,24,5,No
CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Gasoline,large car,7,19,28,22,4,No
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,midsize car,6,29,36,32,7,Yes
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,midsize car,7,29,36,32,7,Yes
CHEVROLET Malibu,2.0,4.0,Auto-9,2WD,Gasoline,midsize car,5,22,32,26,5,No
CHEVROLET Silverado,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,19,22,20,4,No
CHEVROLET Silverado,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,20,23,21,4,No
CHEVROLET Silverado,2.7,4.0,Auto-8,4WD,Gasoline,pickup,6,19,22,20,4,No
CHEVROLET Silverado,3.0,6.0,Auto-10,2WD,Diesel,pickup,1,23,33,27,5,No
CHEVROLET Silverado,3.0,6.0,Auto-10,4WD,Diesel,pickup,1,23,29,25,4,No
CHEVROLET Silverado,4.3,6.0,Auto-6,2WD,Gasoline,pickup,6,16,21,17,3,No
CHEVROLET Silverado,4.3,6.0,Auto-6,2WD,Gasoline,special purpose,6,15,19,17,3,No
CHEVROLET Silverado,4.3,6.0,Auto-6,4WD,Gasoline,pickup,6,15,20,17,3,No
CHEVROLET Silverado,4.3,6.0,Auto-6,4WD,Gasoline,special purpose,6,14,16,15,2,No
CHEVROLET Silverado,5.3,8.0,Auto-10,4WD,Gasoline,pickup,5,16,22,19,3,No
CHEVROLET Silverado,5.3,8.0,Auto-6,2WD,Gasoline,pickup,5,15,21,17,3,No
CHEVROLET Silverado,5.3,8.0,Auto-6,2WD,Gasoline,special purpose,5,14,18,15,2,No
CHEVROLET Silverado,5.3,8.0,Auto-6,4WD,Gasoline,pickup,5,15,20,17,3,No
CHEVROLET Silverado,5.3,8.0,Auto-6,4WD,Gasoline,special purpose,5,14,17,15,2,No
CHEVROLET Silverado,5.3,8.0,Auto-8,2WD,Gasoline,pickup,5,17,23,19,3,No
CHEVROLET Silverado,5.3,8.0,Auto-8,2WD,Gasoline,pickup,5,17,24,20,4,No
CHEVROLET Silverado,5.3,8.0,Auto-8,4WD,Gasoline,pickup,5,16,22,18,3,No
CHEVROLET Silverado,6.2,8.0,Auto-10,4WD,Gasoline,pickup,3,16,20,17,3,No
CHEVROLET Silverado 4WD Trail Boss,4.3,6.0,Auto-6,4WD,Gasoline,pickup,6,14,18,16,2,No
CHEVROLET Silverado 4WD Trail Boss,5.3,8.0,Auto-10,4WD,Gasoline,pickup,5,16,21,18,3,No
CHEVROLET Silverado 4WD Trail Boss,5.3,8.0,Auto-6,4WD,Gasoline,pickup,5,14,18,16,2,No
CHEVROLET Silverado 4WD Trail Boss,5.3,8.0,Auto-8,4WD,Gasoline,pickup,5,16,21,18,3,No
CHEVROLET Silverado 4WD Trail Boss,6.2,8.0,Auto-10,4WD,Gasoline,pickup,3,14,18,15,2,No
CHEVROLET Silverado 4WD Trail Boss,6.2,8.0,Auto-10,4WD,Gasoline,pickup,3,15,19,17,3,No
CHEVROLET Sonic,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5,26,34,29,6,No
CHEVROLET Sonic 5,1.4,4.0,SemiAuto-6,2WD,Gasoline,station wagon,5,26,34,29,6,No
CHEVROLET Spark,1.4,4.0,CVT,2WD,Gasoline,small car,5,30,38,33,7,Yes
CHEVROLET Spark,1.4,4.0,Man-5,2WD,Gasoline,small car,5,29,38,33,7,Yes
CHEVROLET Spark Activ,1.4,4.0,CVT,2WD,Gasoline,small car,5,30,37,33,7,Yes
CHEVROLET Spark Activ,1.4,4.0,Man-5,2WD,Gasoline,small car,5,29,37,32,7,Yes
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,15,22,18,3,No
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,14,21,16,2,No
CHEVROLET Suburban 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
CHEVROLET Suburban 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,20,16,2,No
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,15,22,18,3,No
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,15,21,17,3,No
CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,22,17,3,No
CHEVROLET Traverse,3.6,6.0,Auto-9,2WD,Gasoline,standard SUV,6,18,27,21,4,No
CHEVROLET Traverse,3.6,6.0,Auto-9,4WD,Gasoline,standard SUV,6,17,25,20,4,No
CHEVROLET Trax,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,26,31,28,6,No
CHEVROLET Trax,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,24,29,26,5,No
CHRYSLER 300,3.6,6.0,Auto-8,2WD,Gasoline,large car,3,19,30,23,5,No
CHRYSLER 300,3.6,6.0,Auto-8,4WD,Gasoline,large car,3,18,27,21,4,No
CHRYSLER 300,5.7,8.0,Auto-8,2WD,Gasoline,large car,3,16,25,19,3,No
CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,7,19,28,22,4,No
CHRYSLER Voyager,3.6,6.0,Auto-9,2WD,Gasoline,minivan,7,19,28,22,4,No
DODGE Challenger,3.6,6.0,Auto-8,2WD,Gasoline,midsize car,3,19,30,23,5,No
DODGE Challenger,3.6,6.0,Auto-8,4WD,Gasoline,midsize car,3,18,27,21,4,No
DODGE Challenger,5.7,8.0,Auto-8,2WD,Gasoline,midsize car,3,16,25,19,3,No
DODGE Challenger,5.7,8.0,Man-6,2WD,Gasoline,midsize car,1,15,23,18,3,No
DODGE Challenger,6.4,8.0,Auto-8,2WD,Gasoline,midsize car,1,15,24,18,3,No
DODGE Challenger,6.4,8.0,Man-6,2WD,Gasoline,midsize car,1,14,23,17,3,No
DODGE Challenger SRT,6.2,8.0,Auto-8,2WD,Gasoline,midsize car,1,13,22,16,2,No
DODGE Challenger SRT,6.2,8.0,Man-6,2WD,Gasoline,midsize car,1,13,21,16,2,No
DODGE Challenger SRT Widebody,6.2,8.0,Auto-8,2WD,Gasoline,midsize car,1,13,21,15,2,No
DODGE Challenger SRT Widebody,6.2,8.0,Man-6,2WD,Gasoline,midsize car,1,13,21,16,2,No
DODGE Challenger Widebody,6.4,8.0,Auto-8,2WD,Gasoline,midsize car,1,15,24,18,3,No
DODGE Challenger Widebody,6.4,8.0,Man-6,2WD,Gasoline,midsize car,1,14,23,17,3,No
DODGE Charger,3.6,6.0,Auto-8,2WD,Gasoline,large car,3,19,30,23,5,No
DODGE Charger,3.6,6.0,Auto-8,4WD,Gasoline,large car,3,18,27,21,4,No
DODGE Charger,5.7,8.0,Auto-8,2WD,Gasoline,large car,3,16,25,19,3,No
DODGE Charger,6.4,8.0,Auto-8,2WD,Gasoline,large car,1,15,24,18,3,No
DODGE Charger SRT Widebody,6.2,8.0,Auto-8,2WD,Gasoline,large car,1,12,21,15,2,No
DODGE Charger Widebody,6.4,8.0,Auto-8,2WD,Gasoline,large car,1,15,24,18,3,No
DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,7,19,26,21,4,No
DODGE Durango,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,7,18,25,21,4,No
DODGE Durango,5.7,8.0,Auto-8,2WD,Gasoline,standard SUV,3,14,22,17,3,No
DODGE Durango,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3,14,22,17,3,No
DODGE Durango  SRT,6.4,8.0,Auto-8,4WD,Gasoline,standard SUV,1,13,19,15,2,No
DODGE Grand Caravan,3.6,6.0,Auto-6,2WD,Gasoline,minivan,5,17,25,20,4,No
DODGE Journey,2.4,4.0,Auto-4,2WD,Gasoline,small SUV,3,19,25,21,4,No
FERRARI 488 Pista,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,20,17,3,No
FERRARI 488 Pista Spider,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,19,17,3,No
FERRARI 812 Superfast,6.5,12.0,AutoMan-7,2WD,Gasoline,small car,3,12,16,13,1,No
FERRARI F8 Tributo,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,19,16,2,No
FERRARI GTC4Lusso,6.3,12.0,AutoMan-7,4WD,Gasoline,small car,3,12,17,13,1,No
FERRARI GTC4Lusso T,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,15,21,17,3,No
FERRARI Portofino,3.9,8.0,AutoMan-7,2WD,Gasoline,small car,3,16,22,18,3,No
FIAT 124 Spider,1.4,4.0,Auto-6,2WD,Gasoline,small car,3,25,36,29,6,No
FIAT 124 Spider,1.4,4.0,Man-6,2WD,Gasoline,small car,3,26,35,30,7,No
FIAT 500L,1.4,4.0,Auto-6,2WD,Gasoline,station wagon,3,22,30,25,5,No
FIAT 500X,1.3,4.0,Auto-9,4WD,Gasoline,small SUV,6,24,30,26,5,No
FORD EcoSport,1.0,3.0,SemiAuto-6,2WD,Gasoline,small SUV,5,27,29,28,6,No
FORD EcoSport,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,23,29,25,5,No
FORD Edge,2.0,4.0,Auto-8,2WD,Gasoline,small SUV,5,21,29,24,5,No
FORD Edge,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,5,21,28,23,5,No
FORD Edge,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,5,21,28,23,5,No
FORD Edge,2.7,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,19,26,21,4,No
FORD Escape,1.5,3.0,Auto-8,2WD,Gasoline,small SUV,7,27,33,30,7,Yes
FORD Escape,1.5,3.0,Auto-8,4WD,Gasoline,small SUV,7,26,31,28,6,No
FORD Escape,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,5,23,31,26,5,No
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,small SUV,7,44,37,41,9,Yes
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,small SUV,7,43,37,40,9,Yes
FORD Expedition,3.5,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,5,17,23,19,3,No
FORD Expedition,3.5,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,17,22,19,3,No
FORD Expedition MAX,3.5,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,5,17,23,19,3,No
FORD Expedition MAX,3.5,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,16,21,18,3,No
FORD Explorer,2.3,4.0,SemiAuto-10,2WD,Gasoline,standard SUV,5,21,28,24,5,No
FORD Explorer,2.3,4.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,20,27,23,5,No
FORD Explorer,3.0,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,18,24,20,4,No
FORD Explorer HEV,3.3,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,5,27,29,28,6,No
FORD Explorer HEV,3.3,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,23,26,25,5,No
FORD F150,2.7,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,20,26,22,4,No
FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,18,23,20,4,No
FORD F150,3.0,6.0,SemiAuto-10,2WD,Diesel,pickup,1,21,28,24,4,No
FORD F150,3.0,6.0,SemiAuto-10,2WD,Diesel,pickup,1,21,29,24,4,No
FORD F150,3.0,6.0,SemiAuto-10,4WD,Diesel,pickup,1,20,25,22,3,No
FORD F150,3.5,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,17,23,19,3,No
FORD F150,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,16,22,18,3,No
FORD F150 Limited,3.5,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,17,22,19,3,No
FORD F150 Limited,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,17,21,19,3,No
FORD F150 Raptor,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,15,18,16,2,No
FORD F150 XL/XLT,3.0,6.0,SemiAuto-10,4WD,Diesel,pickup,1,21,28,24,4,No
FORD Fusion,1.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,23,34,27,6,No
FORD Fusion,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5,21,31,25,5,No
FORD Fusion,2.0,4.0,SemiAuto-6,4WD,Gasoline,midsize car,5,20,29,23,5,No
FORD Fusion,2.5,4.0,Auto-6,2WD,Gasoline,midsize car,5,21,31,24,5,No
FORD Fusion Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,43,41,42,9,Yes
FORD Fusion Hybrid Taxi,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,43,40,41,9,Yes
FORD GT,3.5,6.0,AutoMan-7,2WD,Gasoline,small car,3,12,18,14,1,No
FORD Mustang,2.3,4.0,Man-6,2WD,Gasoline,small car,5,21,30,24,5,No
FORD Mustang,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,5,21,32,25,5,No
FORD Mustang,5.0,8.0,Man-6,2WD,Gasoline,small car,3,15,24,18,3,No
FORD Mustang,5.0,8.0,SemiAuto-10,2WD,Gasoline,small car,3,16,25,19,3,No
FORD Mustang Bullitt,5.0,8.0,Man-6,2WD,Gasoline,small car,3,14,23,17,3,No
FORD Mustang Convertible,2.3,4.0,Man-6,2WD,Gasoline,small car,5,20,28,23,5,No
FORD Mustang Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,5,20,28,23,5,No
FORD Mustang Convertible,5.0,8.0,SemiAuto-10,2WD,Gasoline,small car,3,15,24,18,3,No
FORD Mustang HO Convertible,2.3,4.0,Man-6,2WD,Gasoline,small car,5,19,26,22,4,No
FORD Mustang HO Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,5,20,27,23,5,No
FORD Mustang HO Coupe,2.3,4.0,Man-6,2WD,Gasoline,small car,5,20,27,23,5,No
FORD Mustang HO Coupe,2.3,4.0,SemiAuto-10,2WD,Gasoline,small car,5,20,28,23,5,No
FORD Ranger,2.3,4.0,SemiAuto-10,2WD,Gasoline,special purpose,3,19,18,18,3,No
FORD Ranger,2.3,4.0,SemiAuto-10,2WD,Gasoline,pickup,5,21,26,23,5,No
FORD Ranger,2.3,4.0,SemiAuto-10,4WD,Gasoline,pickup,5,20,24,22,4,No
FORD Shelby GT350 Mustang,5.2,8.0,Man-6,2WD,Gasoline,small car,3,14,21,16,2,No
FORD Shelby GT500 Mustang,5.2,8.0,AutoMan-7,2WD,Gasoline,small car,3,12,18,14,1,No
FORD Transit Connect,2.0,4.0,SemiAuto-8,2WD,Gasoline,special purpose,6,24,27,25,5,No
FORD Transit Connect,2.0,4.0,SemiAuto-8,2WD,Gasoline,special purpose,6,24,29,26,5,No
FORD Transit Connect,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,5,20,26,22,4,No
FORD Transit Connect,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,5,20,27,22,4,No
FORD Transit Connect USPS,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,5,20,27,22,4,No
GENESIS G70,2.0,4.0,Man-6,2WD,Gasoline,small car,3,18,28,22,4,No
GENESIS G70,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,3,22,30,25,5,No
GENESIS G70,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3,20,27,23,5,No
GENESIS G70,3.3,6.0,SemiAuto-8,2WD,Gasoline,small car,3,17,26,20,4,No
GENESIS G70,3.3,6.0,SemiAuto-8,4WD,Gasoline,small car,3,17,25,20,4,No
GENESIS G80,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,3,17,25,20,4,No
GENESIS G80,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,3,17,24,20,4,No
GENESIS G80,3.8,6.0,SemiAuto-8,2WD,Gasoline,large car,5,18,26,21,4,No
GENESIS G80,3.8,6.0,SemiAuto-8,4WD,Gasoline,large car,5,18,24,20,4,No
GENESIS G80,5.0,8.0,SemiAuto-8,2WD,Gasoline,large car,5,16,24,19,3,No
GENESIS G80,5.0,8.0,SemiAuto-8,4WD,Gasoline,large car,5,15,23,18,3,No
GENESIS G90,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,3,17,25,20,4,No
GENESIS G90,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,3,17,25,20,4,No
GENESIS G90,5.0,8.0,SemiAuto-8,2WD,Gasoline,large car,5,16,24,19,3,No
GENESIS G90,5.0,8.0,SemiAuto-8,4WD,Gasoline,large car,5,15,23,18,3,No
GMC Acadia,2.0,4.0,Auto-9,2WD,Gasoline,standard SUV,6,21,28,24,5,No
GMC Acadia,2.0,4.0,Auto-9,4WD,Gasoline,standard SUV,6,21,27,23,5,No
GMC Acadia,2.5,4.0,Auto-9,2WD,Gasoline,standard SUV,5,21,27,23,5,No
GMC Acadia,3.6,6.0,Auto-9,2WD,Gasoline,standard SUV,6,19,27,22,4,No
GMC Acadia,3.6,6.0,Auto-9,4WD,Gasoline,standard SUV,6,18,25,21,4,No
GMC Canyon,2.5,4.0,Auto-6,2WD,Gasoline,pickup,5,20,26,22,4,No
GMC Canyon,2.5,4.0,Auto-6,4WD,Gasoline,pickup,5,19,24,21,4,No
GMC Canyon,2.8,4.0,Auto-6,2WD,Diesel,pickup,3,20,30,23,4,No
GMC Canyon,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,19,28,22,4,No
GMC Canyon,3.6,6.0,Auto-8,2WD,Gasoline,pickup,5,18,25,20,4,No
GMC Canyon,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,17,24,19,3,No
GMC Sierra,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,19,22,20,4,No
GMC Sierra,2.7,4.0,Auto-8,2WD,Gasoline,pickup,6,20,23,21,4,No
GMC Sierra,2.7,4.0,Auto-8,4WD,Gasoline,pickup,6,19,22,20,4,No
GMC Sierra,3.0,6.0,Auto-10,2WD,Diesel,pickup,1,23,30,26,5,No
GMC Sierra,3.0,6.0,Auto-10,4WD,Diesel,pickup,1,22,26,24,4,No
GMC Sierra,4.3,6.0,Auto-6,2WD,Gasoline,pickup,6,16,21,17,3,No
GMC Sierra,4.3,6.0,Auto-6,2WD,Gasoline,special purpose,6,15,19,17,3,No
GMC Sierra,4.3,6.0,Auto-6,4WD,Gasoline,pickup,6,15,20,17,3,No
GMC Sierra,4.3,6.0,Auto-6,4WD,Gasoline,special purpose,6,14,16,15,2,No
GMC Sierra,5.3,8.0,Auto-10,4WD,Gasoline,pickup,5,16,22,19,3,No
GMC Sierra,5.3,8.0,Auto-6,2WD,Gasoline,pickup,5,15,21,17,3,No
GMC Sierra,5.3,8.0,Auto-6,2WD,Gasoline,special purpose,5,14,18,15,2,No
GMC Sierra,5.3,8.0,Auto-6,4WD,Gasoline,pickup,5,15,20,17,3,No
GMC Sierra,5.3,8.0,Auto-6,4WD,Gasoline,special purpose,5,14,17,15,2,No
GMC Sierra,5.3,8.0,Auto-8,2WD,Gasoline,pickup,5,17,23,19,3,No
GMC Sierra,5.3,8.0,Auto-8,2WD,Gasoline,pickup,5,17,24,20,4,No
GMC Sierra,5.3,8.0,Auto-8,4WD,Gasoline,pickup,5,16,22,18,3,No
